insee;gid;lon;lat
69385;5888;4,8136365;45,7633771
69259;5889;4,8813232;45,6947417
69386;5890;4,8584868;45,7774389
69259;5891;4,8805215;45,694012
69385;5892;4,8136345;45,7630884
69256;5893;4,916338;45,7854262
69385;5894;4,8291626999999995;45,7657001
69091;5895;4,7747159;45,5862339
69386;5896;4,8421858;45,7684645
69384;5897;4,831929;45,7751018
69382;5898;4,8310054000000004;45,7572749
69259;5899;4,8995387;45,7185947
69029;5900;4,8978263;45,7450913
69199;5901;4,8593398;45,7048372
69388;5902;4,8732345;45,7350249
69259;5903;4,8993106;45,7158913
69388;5904;4,8769279;45,7340584
69256;5905;4,9210855;45,7817211
69388;5906;4,8913032;45,7379671
69034;5907;4,8559392;45,8008767
69386;5908;4,8480834;45,7643318
69259;5909;4,8831649;45,7184756
69386;5910;4,8565435;45,7814288
69382;5911;4,8325355;45,7582118
69029;5912;4,8999305;45,7257873
69385;5913;4,8231901;45,7532163
69202;5914;4,804006;45,7345174
69266;5915;4,8657661;45,7737609
69029;5916;4,905737;45,7226614
69388;5917;4,870887;45,7281086
69386;5918;4,844595;45,7769349
69386;5919;4,8499843;45,7827815
69386;5920;4,8450226;45,7638108
69384;5921;4,8399838;45,7766104
69383;5922;4,8846989;45,7417201
69290;5923;4,9220977999999995;45,7091052
69259;5924;4,8990197;45,7195735
69256;5925;4,9214172;45,7780392
69389;5926;4,7932061;45,7839653
69383;5927;4,8767106;45,7480912
69382;5928;4,8314848999999995;45,7571556
69386;5929;4,8584436;45,7770273
69256;5930;4,9154287;45,783683
69383;5931;4,8616949;45,7606194
69387;5932;4,8222658;45,7343931
69386;5933;4,8576255;45,7739989
69386;5934;4,8478434;45,7793514
69386;5935;4,8417373;45,7691622
69256;5936;4,9211564;45,7816427
69259;5937;4,8589091;45,7247549
69385;5938;4,8272499;45,760133
69386;5939;4,8492916;45,7827424
69383;5940;4,8519429;45,7604053
69266;5941;4,8703189;45,7829872
69383;5942;4,8757564;45,7483949
69029;5943;4,9000478;45,7232505
69266;5944;4,8803973;45,7846478
69068;5945;4,8293947;45,8451719
69089;5946;4,7700547;45,7481474
69029;5947;4,9067837999999995;45,7233892
69029;5948;4,9022151;45,7436865
69383;5949;4,8811482999999996;45,7437053
69386;5950;4,8576938;45,7847504
69266;5951;4,8766312;45,7717215
69168;5952;4,836328;45,8437922
69384;5953;4,8117608;45,7758422
69383;5954;4,8406635;45,7617618
69271;5955;4,957452;45,7259649
69386;5956;4,8493626;45,7802631
69143;5957;4,8364952;45,8791402
69385;5958;4,8264136;45,7584719
69276;5959;4,8551931;45,6666363
69266;5960;4,8639265;45,7820197
69383;5961;4,8404776;45,7608167
69266;5962;4,8703578;45,7829947
69386;5963;4,8528234999999995;45,7840807
69381;5964;4,8359052;45,766516
69384;5965;4,8132497;45,7824082
69383;5966;4,8668594;45,7532837
69383;5967;4,8849637999999995;45,7418259
69271;5968;4,9577339;45,7254713
69276;5969;4,8552838;45,6679412
69068;5970;4,8320718;45,8459459
69259;5971;4,8991433;45,7190047
69259;5972;4,8802734999999995;45,6939861
69386;5973;4,8578308;45,7672415
69389;5974;4,7931189;45,7837513
69386;5975;4,8446482;45,7662215
69259;5976;4,8776357;45,6958989
69383;5977;4,8719024;45,7591855
69386;5978;4,858672;45,7671237
69388;5979;4,8787368;45,7273792
69386;5980;4,8449091;45,7662456
69384;5981;4,811585;45,7758162
69286;5982;4,8980854;45,8182827
69383;5983;4,8452391;45,7566694
69293;5984;4,8797683;45,8318521
69385;5985;4,8285029;45,7665169
69387;5986;4,8425778;45,751958
69386;5987;4,8511255;45,7752801
69069;5988;4,7237131;45,7465033
69386;5989;4,8420879;45,7686406
69386;5990;4,8465032;45,7771568
69381;5991;4,8328196;45,7730547
69271;5992;4,9579142;45,7263779
69383;5993;4,8407247;45,7622623
69386;5994;4,8577688;45,7672555
69383;5995;4,8414072;45,7609675
69259;5996;4,8809191;45,7176585
69382;5997;4,828339;45,7508557
69290;5998;4,933202;45,7193576
69290;5999;4,9211843;45,7103773
69388;6000;4,8739688;45,7396344
69387;6001;4,83613;45,747208
69384;6002;4,8326195;45,7772726
69259;6003;4,902259;45,7145132
69256;6004;4,9265802;45,7568613
69256;6005;4,9254445;45,7565846
69259;6006;4,8882341;45,6979803
69259;6007;4,9043206;45,717384
69388;6008;4,8691075;45,733057
69386;6009;4,849922;45,7814147
69259;6010;4,892459;45,7175179
69382;6011;4,8333223;45,7568349
69386;6012;4,8529872;45,7762098
69382;6013;4,8307199;45,7574945
69383;6014;4,8816385;45,7425274
69382;6015;4,8333513;45,756827799999996
69385;6016;4,8235797;45,7674012
69388;6017;4,8696645;45,7359385
69385;6018;4,8227811;45,7528038
69385;6019;4,7958658;45,7633385
69384;6020;4,8133231;45,7747944
69382;6021;4,8305938;45,757531
69034;6022;4,8423833;45,7968081
69382;6023;4,8318625;45,7569715
69029;6024;4,9051044;45,7228198
69385;6025;4,8221841;45,7522661
69266;6026;4,8884295;45,7759831
69279;6027;5,047504;45,7960454
69168;6028;4,8334778;45,8390758
69382;6029;4,8317993999999995;45,7584137
69386;6030;4,8450006;45,7769561
69388;6031;4,8793456;45,7295959
69259;6032;4,8801413;45,6941675
69034;6033;4,8489205;45,7951254
69256;6034;4,9170476999999995;45,7768792
69256;6035;4,9254083;45,756763
69382;6036;4,8285583;45,7507972
69259;6037;4,8991394;45,7145043
69386;6038;4,8500108;45,7774282
69259;6039;4,8554303;45,7267584
69266;6040;4,8966577000000004;45,7603651
69383;6041;4,8820898;45,7439397
69388;6042;4,8749256;45,7346889
69381;6043;4,83603;45,7656672
69383;6044;4,8404629;45,7607099
69385;6045;4,7959175;45,7633563
69388;6046;4,8853447;45,7314242
69383;6047;4,8405557;45,7610027
69381;6048;4,8362625;45,7706501
69383;6049;4,8477726;45,7561312
69034;6050;4,8682448;45,7988158
69386;6051;4,8567291;45,7849931
69388;6052;4,8767106;45,7325892
69259;6053;4,8578588;45,7268156
69384;6054;4,8130896;45,7748468
69383;6055;4,851776;45,7611699
69389;6056;4,8052908;45,7755869
69383;6057;4,8768782999999996;45,7478119
69388;6058;4,8698767;45,7286787
69386;6059;4,8547515;45,7808345
69290;6060;4,9231023;45,7074673
69259;6061;4,8859338999999995;45,7193428
69068;6062;4,8321451;45,845845
69259;6063;4,8921276;45,7174601
69384;6064;4,8318832;45,7749826
69383;6065;4,8406152;45,7614396
69266;6066;4,9189758;45,7568452
69382;6067;4,8318107999999995;45,7571879
69382;6068;4,8281291;45,7510886
69034;6069;4,8395340000000004;45,781602
69385;6070;4,8274939;45,7601314
69384;6071;4,8256975;45,7739534
69386;6072;4,8531379;45,7823246
69384;6073;4,8128027;45,7748622
69259;6074;4,8628768;45,7237667
69384;6075;4,8208741;45,773175
69029;6076;4,8958375;45,7223751
69383;6077;4,881955;45,7439186
69259;6078;4,9029594;45,7170871
69386;6079;4,8509354;45,7644922
69029;6080;4,9000408;45,7219721
69382;6081;4,8314913;45,7571467
69383;6082;4,8518684;45,7607696
69382;6083;4,8305175;45,7583016
69266;6084;4,8639738;45,7796058
69384;6085;4,8130847;45,7748075
69386;6086;4,8571428;45,7848557
69386;6087;4,8448638;45,7662411
69386;6088;4,8463237;45,7771381
69386;6089;4,8586735;45,7671152
69383;6090;4,8790548;45,7435101
69290;6091;4,9422618;45,691197
69386;6092;4,8574456999999995;45,7656308
69034;6093;4,8473518;45,7941321
69383;6094;4,8418375000000005;45,7609481
69386;6095;4,8553559;45,784745
69029;6096;4,9039766;45,7466693
69029;6097;4,9040892;45,7222265
69384;6098;4,8317934000000005;45,7747547
69383;6099;4,8766791;45,7486546
69386;6100;4,8424091;45,7681679
69386;6101;4,8416031;45,7683902
69383;6102;4,8947876;45,7480943
69383;6103;4,8616943;45,7604874
69383;6104;4,8835622999999995;45,7420168
69266;6105;4,8705275;45,7830345
69386;6106;4,8430143;45,7723039
69046;6107;4,796846;45,6465431
69384;6108;4,8126543;45,7748668
69384;6109;4,8300356;45,7749979
69383;6110;4,8943456;45,7479271
69256;6111;4,9163003;45,784586
69266;6112;4,8836012;45,7593895
69383;6113;4,8818336;45,7445579
69386;6114;4,8447683;45,7782098
69386;6115;4,8496951;45,7819188
69382;6116;4,8319103;45,7598767
69382;6117;4,8315145;45,7572727
69386;6118;4,8413115;45,7685168
69071;6119;4,813347;45,8680744
69266;6120;4,8740476;45,7819814
69384;6121;4,8114465;45,7757884
69383;6122;4,8757678;45,7482574
69259;6123;4,8643543;45,6929033
69382;6124;4,828504;45,7506961
69256;6125;4,9268319;45,7770345
69382;6126;4,8310744;45,7571224
69381;6127;4,8264659;45,7716887
69388;6128;4,8690581;45,7330236
69386;6129;4,8416817;45,7691552
69266;6130;4,8657996;45,7732258
69386;6131;4,842216;45,7685564
69386;6132;4,8519718;45,7837184
69266;6133;4,8965117;45,7604675
69256;6134;4,9198766;45,7707774
69386;6135;4,8478875;45,7643557
69386;6136;4,8562359;45,7830941
69385;6137;4,8126182;45,7581898
69384;6138;4,8302829;45,7773708
69385;6139;4,8221009;45,7521912
69259;6140;4,8993252;45,7183555
69386;6141;4,8515179;45,782183
69383;6142;4,8790848;45,7435023
69088;6143;4,8542967;45,8321923
69286;6144;4,8846121;45,8047304
69386;6145;4,8567441;45,7819733
69259;6146;4,858999;45,72483
69266;6147;4,8866086;45,7584445
69386;6148;4,8413165;45,7684899
69034;6149;4,8530116;45,8005616
69386;6150;4,8560277;45,7849445
69029;6151;4,923459;45,7440284
69382;6152;4,832111;45,7571877
69382;6153;4,8321231000000004;45,7584232
69388;6154;4,8697843;45,7286827
69259;6155;4,8987443;45,721217
69383;6156;4,8774569;45,7487894
69069;6157;4,7236901;45,7466684
69256;6158;4,9165149;45,7854128
69386;6159;4,8574312;45,7847585
69383;6160;4,8839311;45,7442911
69256;6161;4,9099937;45,7858023
69386;6162;4,8426327;45,7681941
69382;6163;4,8169658;45,7404126
69385;6164;4,8283279;45,7666383
